time,pdcsap_flux
1442.0008468670007,1567.7098
1442.0022357495875,1549.2822
1442.0036246321456,1568.5846
1442.0050135147312,1563.5751
1442.0064023972884,1576.7532
1442.0077912798747,1551.9525
1442.009180162432,1566.6128
1442.0105690450182,1551.2845
1442.0119579276045,1554.3551
1442.0133468101617,1561.7509
1442.014735692748,1569.1616
1442.016124575306,1555.0924
1442.0175134578922,1548.0891
1442.018902340449,1560.8843
1442.020291223035,1557.2476
1442.021680105622,1565.8262
1442.0230689881791,1565.9773
1442.0244578707648,1561.7869
1442.0258467533215,1564.2388
1442.0272356359087,1567.8218
1442.028624518495,1556.0294
1442.0300134010515,1580.3882
1442.0314022836385,1566.8604
1442.0327911661964,1565.3248
1442.034180048782,1558.6271
1442.0355689313385,1565.4113
1442.0369578139248,1552.8373
1442.0383466965118,1558.8347
1442.039735579069,1558.6184
1442.0411244616546,1559.798
1442.0425133442118,1570.677
1442.0439022267988,1551.2169
1442.045291109385,1571.3956
1442.0466799919425,1556.097
1442.0480688745286,1574.2708
1442.0494577570855,1562.9465
1442.050846639672,1577.9468
1442.0522355222583,1582.6333
1442.0550132874018,1572.8795
1442.056402169959,1570.0886
1442.057791052545,1567.0002
1442.0591799351316,1572.2383
1442.060568817688,1566.9777
1442.0619577002751,1564.0668
1442.063346582833,1561.1912
1442.0647354654186,1582.2739
1442.0661243480042,1583.2589
1442.067513230562,1576.9679
1442.068902113149,1567.0029
1442.0702909957056,1564.3928
1442.071679878292,1570.3688
1442.0730687608789,1569.2388
1442.074457643436,1557.3247
1442.0758465260217,1561.5538
1442.0772354085789,1558.8748
1442.078624291166,1577.175
1442.080013173752,1572.3387
1442.081402056309,1565.349
1442.082790938895,1570.2427
1442.0841798214813,1566.875
1442.0855687040385,1564.2838
1442.0869575866254,1570.1685
1442.0883464691824,1567.0527
1442.089735351768,1573.0629
1442.0911242343543,1548.236
1442.0925131169122,1575.0038
1442.0939019994985,1565.3387
1442.095290882055,1567.2036
1442.0966797646413,1571.7589
1442.0980686472285,1582.2755
1442.0994575297857,1570.6357
1442.100846412371,1569.4551
1442.102235294958,1568.1721
1442.103624177516,1568.5913
1442.1050130601016,1569.9746
1442.106401942658,1575.3252
1442.1077908252444,1558.7356
1442.1091797078311,1558.0889
1442.1105685903883,1572.4958
1442.1119574729742,1571.2955
1442.1133463555605,1560.2386
1442.1147352381183,1553.4701
1442.1161241207046,1564.5327
1442.1175130032618,1572.459
1442.118901885848,1553.8242
1442.1202907684344,1565.4097
1442.1216796509916,1547.9639
1442.123068533578,1560.337
1442.1244574161642,1563.9814
1442.1258462987214,1569.2958
1442.1272351813084,1563.6501
1442.1286240638656,1567.179
1442.1300129464512,1563.3918
1442.1314018290368,1560.6932
1442.132790711595,1558.5649
1442.1341795941817,1540.0444
1442.1355684767673,1557.6073
1442.1369573593238,1553.7511
1442.1383462419108,1547.2902
1442.1397351244975,1549.8792
1442.1411240070545,1569.7479
1442.1425128896406,1544.8151
1442.1439017721984,1559.4398
1442.1452906547847,1558.3885
1442.1466795373703,1558.8821
1442.1480684199275,1553.5236
1442.1494573025143,1554.7212
1442.1508461851008,1554.761
1442.152235067657,1551.2605
1442.1536239502434,1547.8998
1442.1550128328304,1554.1309
1442.1564017153878,1562.0525
1442.157790597974,1561.2648
1442.159179480531,1553.9674
1442.160568363117,1541.3256
1442.161957245703,1548.0664
1442.1633461282609,1563.0742
1442.1647350108472,1553.9609
1442.1661238934328,1546.584
1442.16751277599,1542.0345
1442.168901658577,1562.3663
1442.1702905411632,1564.9386
1442.1716794237198,1552.3768
1442.1730683063067,1559.926
1442.1744571888646,1561.0067
1442.1758460714502,1556.9962
1442.1772349540358,1545.0896
1442.1786238365935,1559.6857
1442.1800127191807,1563.8151
1442.1814016017663,1556.9459
1442.1827904843235,1545.9346
1442.1841793669098,1571.3284
1442.185568249496,1562.0596
1442.1869571320533,1559.0942
1442.1883460146396,1562.2848
1442.189734897226,1569.9768
1442.191123779783,1554.8414
1442.1925126623694,1555.047
1442.1939015449557,1559.7441
1442.1952904275129,1562.1117
1442.1966793100992,1566.2677
1442.198068192657,1556.7775
1442.1994570752431,1558.4135
1442.200845957829,1562.9929
