,pdcsap_flux,pdcsap_clean,trend,seasonal
1438.198088310551,1561.9932,5.311515967228843,1563.3557129347137,-6.674028901942697
1438.199477189558,1530.5082,-3.6324605166744277,1563.3614927502763,-29.22083223360185
1438.2008660685938,1534.733,-0.7074265392104735,1563.3672632331877,-27.926836693977286
1438.2022549475996,1558.9431,-2.543875396289195,1563.37302432688,-1.8860489305910149
1438.2036438266352,1553.7203,-1.282835361205116,1563.3787759819602,-8.375640620755048
1438.2050327056716,1543.8163,-4.548490333897689,1563.3845181589156,-15.019727825017924
1438.2064215847072,1539.3099,-6.670046449642996,1563.3902508278743,-17.410304378231302
1438.2078104637428,1549.0959,-2.898123231967247,1563.3959739779045,-11.401950745937294
1438.2091993428076,1564.8268,3.553608313830864,1563.401687620965,-2.1284959347959775
1438.2105882218716,1560.0947,-0.23840581255353754,1563.4073917798432,-3.0742859672894935
1438.2119771009363,1546.209,-27.2358265768853,1563.4130864688907,10.031740107994755
1438.2133659800018,1551.655,0.05589227420205134,1563.4187717005514,-11.819663974753343
1438.2147548590956,1561.5553,-0.6351363033679718,1563.424447487468,-1.234011184099916
1438.2161437381887,1544.1809,0.30863241360702887,1563.430113842675,-19.557846256281778
1438.2175326172826,1543.8636,-0.33934772807401714,1563.4357707810825,-19.232823053008595
1438.218921496377,1555.0214,-2.150735350336163,1563.441418317468,-6.269282967131885
1438.2203103755,1552.3783,-3.447845419088708,1563.4470564692763,-7.620911050187384
1438.2216992545932,1540.9323,-0.7853864263518062,1563.452685263723,-21.73499883737125
1438.223088133716,1569.8641,2.2292223743218074,1563.4583047409214,4.176572884756653
1438.2244770128689,1559.3992,1.1244719281407924,1563.4639149445775,-5.189186872718212
1438.2258658919918,1567.5112,1.141414611836126,1563.4695159114583,2.9002694767055734
1438.2272547711432,1559.0718,2.502838231738451,1563.4751076723187,-6.906145904057193
1438.2286436502952,1575.0322,0.392517719667012,1563.480690251724,11.158992028609129
1438.2300325294473,1557.1351,-0.22871634159673704,1563.4862636655798,-6.12244732398318
1438.231421408599,1556.8053,2.243677360070933,1563.4918279269848,-8.93020528705568
1438.2328102877811,1549.3649,-1.381312228601928,1563.4973830478662,-12.751170819264079
1438.2341991669332,1564.83,-0.4107473966178077,1563.5029290347632,1.7378183618545893
1438.2355880461137,1563.8311,-2.2837195842241726,1563.5084658971518,2.606353687072525
1438.236976925324,1560.2128,2.556098500354665,1563.513993648801,-5.857292149155705
1438.2383658045055,1558.4885,-4.397741095356196,1563.5195123088329,-0.6332712134767058
1438.239754683716,1560.7346,-4.16797284651102,1563.5250218937824,1.3775509527286418
1438.2411435629256,1560.8342,-2.9573989294215153,1563.530522433361,0.26107649606052796
1438.2425324421351,1572.6846,2.546765615797767,1563.536013974194,6.601820410008287
1438.243921321346,1563.6687,2.19948909627783,1563.541496572816,-2.0722856690938394
1438.245310200586,1563.3291,-2.0745361612891884,1563.5469702792561,1.856665882032885
1438.2466990798246,1548.9423,-1.799508288240304,1563.5524351371234,-12.81062684888315
1438.248087959064,1545.3315,-3.2185649286104763,1563.5578911961338,-15.007826267523452
1438.249476838304,1566.6603,-1.312254140300638,1563.5633385154308,4.40921562486974
1438.250865717543,1551.222,-1.8623656456554727,1563.568777165879,-10.484411520223649
1438.252254596811,1571.7682,-0.5514536944497195,1563.5742072262913,8.745446468158518
1438.2536434760796,1569.4061,3.613053558280626,1563.5796287827613,2.213417658958001
1438.255032355348,1567.9987,-7.555063487025791,1563.5850419224491,11.968721564576724
1438.2564212346165,1564.5524,1.9537904920246092,1563.590446727558,-0.9918372195824197
1438.257810113914,1567.8807,-2.3897434760947363,1563.5958432925258,6.674600183568744
1438.2591989932116,1568.0911,-0.6106041616387756,1563.6012317124312,5.100472449207606
1438.2605878725092,1584.2742,-1.7421084757618246,1563.6066120886521,22.409696387109804
1438.261976751806,1568.1345,-6.3922717227078465,1563.6119845279397,10.914787194768047
1438.2633656311043,1576.8806,1.9502892230907491,1563.6173491466234,11.312961630285864
1438.2647545104317,1556.8624,-2.673674940229148,1563.62270607598,-4.086631135750905
1438.2661433897576,1567.7266,0.8251992922482714,1563.6280554480943,3.2733452596573844
1438.2675322690836,1562.0967,-1.3389781207947635,1563.6333974012184,-0.19771928042352258
1438.268921148411,1561.5656,0.29243010971390504,1563.6387320748706,-2.365562184584664
